Category,Subcategory,Feature/Component,Description,Location,Priority,Notes,Implementation Time,Current Status %
POI Types,Business,Key Facilities Display,"Show restrooms, wheelchair, WiFi, pet-friendly",App Frontend,P0,NN-49: Add to businesses,,
POI Types,Park,Park Subtype Table,Separate table for park-specific fields,Database,P0,,,
POI Types,Park,Drone Policy,drones_allowed field,Admin Backend,P1,,,
POI Types,Park,Park Facilities,"Playgrounds, pavilions, trails",Admin Backend,P0,,,
POI Types,Park,Natural Features,"Lakes, forests, fields",Admin Backend,P1,,,
POI Types,Park,Park Detail Page,ParkDetail.jsx component,App Frontend,P0,NN-41: Design implementation needed,,
POI Types,Park,Playground Info,"Playground type, surface, notes",Admin Backend,P0,NN-57: Missing lat/long for playgrounds,,
POI Types,Park,Playground Duplicates,Add multiple playgrounds per park,Admin Backend,P1,NN-57: Need duplicate button,,
POI Types,Trail,Trail Subtype Table,Separate table for trail-specific fields,Database,P0,,,
POI Types,Trail,Trail Length,length_miles field,Admin Backend,P0,,,
POI Types,Trail,Trail Difficulty,"Easy, Moderate, Hard",Admin Backend,P0,,,
POI Types,Trail,Route Type,"Loop, out-and-back, point-to-point",Admin Backend,P0,,,
POI Types,Trail,Surface Types,"Dirt, gravel, asphalt, etc.",Admin Backend,P0,,,
POI Types,Trail,Trailhead Coordinates,Lat/long for trail start,Admin Backend,P0,,,
POI Types,Trail,Trail Exit Coordinates,Lat/long for trail end,Admin Backend,P0,,,
POI Types,Trail,Trailhead Photos,Upload photos of trailhead,Admin Backend,P0,"NN-57: Need 10 images, currently 1",,
POI Types,Trail,Trail Exit Photos,Upload photos of trail exit,Admin Backend,P0,"NN-57: Need 10 images, currently 1",,
POI Types,Trail,Trail Detail Page,TrailDetail.jsx component,App Frontend,P0,NN-42: Design implementation needed,,
POI Types,Trail,Downloadable Maps,PDF map uploads,Admin Backend,P1,,,
POI Types,Event,Event Subtype Table,Separate table for event-specific fields,Database,P0,,,
POI Types,Event,Start DateTime,Event start date and time,Admin Backend,P0,,,
POI Types,Event,End DateTime,Event end date and time,Admin Backend,P0,,,
POI Types,Event,Repeat Pattern,"Recurring event pattern (weekly, monthly)",Admin Backend,P1,,,
POI Types,Event,Organizer Info,"Name, email, phone of organizer",Admin Backend,P0,,,
POI Types,Event,Venue Selection,Link event to venue POI,Admin Backend,P0,NN-46: Venue data inheritance,,
POI Types,Event,Venue Data Inheritance,"Pull address, parking, etc. from venue",Admin Backend,P1,NN-46: Not implemented,,
POI Types,Event,Ticket URL,Link to buy tickets,Admin Backend,P0,,,
POI Types,Event,Is Free,Boolean flag for free events,Admin Backend,P0,,,
POI Types,Event,Vendor Management,List of vendors at event,Admin Backend,P1,,,
POI Types,Event,Event Detail Page,EventDetail.jsx component,App Frontend,P0,NN-44: Design implementation needed,,
POI Types,Event,Past Event Exclusion,Hide events after end date in Nearby,App Backend,P0,NN-30: Verify working,,
POI Types,Event,Events Page,List of all events,App Frontend,P0,NN-46: Showing blank page,,
POI Types,Services,Services POI Type,Service provider listings,Admin Backend,P2,,,
POI Types,Youth Activities,Youth Activities POI Type,Youth programs and activities,Admin Backend,P2,,,
POI Types,Jobs,Jobs POI Type,Job listings,Admin Backend,P3,,,
POI Types,Volunteer,Volunteer Opportunities Type,Volunteer positions,Admin Backend,P3,,,
POI Types,Disaster Hubs,Disaster Hubs POI Type,Emergency resources,Admin Backend,P2,,,
POI Form,Core Information,Name Field,POI name input,Admin Frontend,P0,,,
POI Form,Core Information,Type Selection,POI type dropdown,Admin Frontend,P0,,,
POI Form,Core Information,Teaser Paragraph,Short description (120 chars),Admin Frontend,P0,NN-57: Need character limit,,
POI Form,Core Information,Primary Type,Primary business type selection,Admin Frontend,P0,,,
POI Form,Core Information,Listing Type,"Free, Paid, Sponsor, etc.",Admin Frontend,P0,,,
POI Form,Core Information,Lat/Long Accuracy Flag,Mark if coordinates are most accurate,Admin Frontend,P1,NN-57: Need button to flag,,
POI Form,Location,Street Address,Street address input,Admin Frontend,P0,,,
POI Form,Location,City,City input,Admin Frontend,P0,NN-38: Suggest dropdown for Chatham County cities,,
POI Form,Location,State,State input,Admin Frontend,P0,NN-38: Default to NC,,
POI Form,Location,Zip Code,Zip code input,Admin Frontend,P0,,,
POI Form,Location,County,County input,Admin Frontend,P0,NN-38: Default to Chatham,,
POI Form,Location,Coordinates Picker,Map click to set lat/long,Admin Frontend,P0,,,
POI Form,Location,Map Zoom Level,Adjust default zoom for easier use,Admin Frontend,P1,NN-38: Zoom too far out,,
POI Form,Location,Address Autocomplete,Suggest addresses as user types,Admin Frontend,P2,NN-38: Not implemented,,
POI Form,Location,Front Door Coordinates,Separate lat/long for entrance,Admin Frontend,P0,,,
POI Form,Parking,Parking Types,Multi-select parking options,Admin Frontend,P0,,,
POI Form,Parking,Parking Notes,Text field for parking details,Admin Frontend,P0,NN-57: Missing on free listings,,
POI Form,Parking,Parking Lat/Long,Coordinates for parking lot,Admin Frontend,P0,NN-57: Missing,,
POI Form,Parking,Parking Photos,Upload parking area photos,Admin Frontend,P0,NN-57: Need per-location photos,,
POI Form,Parking,Additional Parking,Add multiple parking locations,Admin Frontend,P1,NN-57: Goes to white screen,,
POI Form,Parking,Public Transit Info,Transit access details,Admin Frontend,P1,NN-57: Missing on free listings,,
POI Form,Parking,Expect to Pay,Parking fee indicator,Admin Frontend,P0,NN-57: Missing on free listings,,
POI Form,Contact,Phone Number,Primary phone input,Admin Frontend,P0,,,
POI Form,Contact,Email,Contact email input,Admin Frontend,P0,,,
POI Form,Contact,Website,Website URL input,Admin Frontend,P0,,,
POI Form,Social Media,Instagram,Instagram handle/URL,Admin Frontend,P0,,,
POI Form,Social Media,Facebook,Facebook page URL,Admin Frontend,P0,,,
POI Form,Social Media,X/Twitter,Twitter/X handle,Admin Frontend,P0,,,
POI Form,Social Media,TikTok,TikTok handle,Admin Frontend,P1,,,
POI Form,Social Media,LinkedIn,LinkedIn page URL,Admin Frontend,P1,,,
POI Form,Categories,Main Category Selector,Select primary category (required),Admin Frontend,P0,,,
POI Form,Categories,Secondary Categories,Select additional categories,Admin Frontend,P0,,,
POI Form,Categories,Category Tree Display,Hierarchical category picker,Admin Frontend,P0,,,
POI Form,Categories,Type-filtered Categories,Only show categories for POI type,Admin Frontend,P0,,,
POI Form,Categories,Business Category Limit,Limit to 1 category for free business,Admin Frontend,P0,NN-57: Currently unlimited,,
POI Form,Hours,Regular Hours Input,Day-by-day hours picker,Admin Frontend,P0,,,
POI Form,Hours,Seasonal Hours,Hours for specific seasons,Admin Frontend,P1,NN-36: Missing date range,,
POI Form,Hours,Holiday Hours,Special holiday hours,Admin Frontend,P1,,,
POI Form,Hours,Recurring Exceptions,Monthly exceptions (3rd Wed closed),Admin Frontend,P2,NN-36: Not implemented,,
POI Form,Facilities,Public Restrooms Toggle,Are restrooms available?,Admin Frontend,P0,,,
POI Form,Facilities,Restroom Options,Restroom type checkboxes,Admin Frontend,P0,,,
POI Form,Facilities,Restroom Description,Text field for restroom details,Admin Frontend,P0,NN-57: Missing,,
POI Form,Facilities,Restroom Lat/Long,Coordinates for restroom location,Admin Frontend,P0,NN-57: Missing,,
POI Form,Facilities,Restroom Photos,Upload restroom photos,Admin Frontend,P0,NN-57: Missing,,
POI Form,Facilities,Add Another Restroom,Duplicate restroom section,Admin Frontend,P1,NN-57: Need duplicate button,,
POI Form,Facilities,Wheelchair Accessible,Yes/No/Unknown selector,Admin Frontend,P0,,,
POI Form,Facilities,Accessibility Details,Text field for details,Admin Frontend,P0,,,
POI Form,Facilities,WiFi Available,Free WiFi checkbox,Admin Frontend,P0,,,
POI Form,Facilities,Pet Policy,Pet-friendly options,Admin Frontend,P0,,,
POI Form,Facilities,Alcohol Available,Yes/No selector,Admin Frontend,P0,,,
POI Form,Facilities,Alcohol Policy Details,Text for alcohol policy,Admin Frontend,P0,NN-57: Missing,,
POI Form,Outdoor Features,Drone Usage Policy,Drone rules text field,Admin Frontend,P1,,,
POI Form,Outdoor Features,Fishing Info,Fishing availability and details,Admin Frontend,P1,,,
POI Form,Outdoor Features,Hunting Info,Hunting availability and details,Admin Frontend,P1,,,
POI Form,Rentals,Rentals Available,Toggle for rental availability,Admin Frontend,P1,,,
POI Form,Rentals,Rental Description,Text field for rental details,Admin Frontend,P1,,,
POI Form,Rentals,Rental Link,URL for booking,Admin Frontend,P1,,,
POI Form,Rentals,Rental Photos,Upload rental item photos,Admin Frontend,P1,NN-57: Missing,,
POI Form,Rentals,Rental Pricing Box,Pricing input section,Admin Frontend,P3,NN-57: Remove - not used,,
POI Form,Community,Community Connections,Links to related content,Admin Frontend,P1,,,
POI Form,Community,Article Links,Links with custom titles,Admin Frontend,P1,NN-57: Need custom title field,,
POI Form,Community,Community Impact,Community involvement section,Admin Frontend,P2,NN-57: Remove from free listings,,
POI Form,Corporate,Comments Restrictions,Restrictions on public comments,Admin Frontend,P2,NN-57: Checkbox not clickable,,
POI Form,Corporate,Social Media Restrictions,Platforms that can't be used,Admin Frontend,P2,NN-57: Checkbox not clickable,,
POI Form,Corporate,Pre-approval Required,Approval before featuring,Admin Frontend,P2,NN-57: Checkbox not clickable,,
POI Form,Corporate,Branding Requirements,Required/avoided language,Admin Frontend,P2,NN-57: Checkbox not clickable,,
POI Form,Misc,Long Description,Rich text editor for full description,Admin Frontend,P0,,,
POI Form,Misc,Internal Notes,Admin-only notes,Admin Frontend,P1,,,
POI Form,Misc,History Paragraph,Historical information,Admin Frontend,P2,,,
POI Form,Misc,Verified Flag,Mark as verified by team,Admin Frontend,P0,,,
POI Form,Misc,Disaster Hub Flag,Mark as disaster resource,Admin Frontend,P2,,,
Categories,Structure,Hierarchical Tree,Categories with parent-child relationships,Database,P0,,,
Categories,Structure,Unlimited Nesting,Any depth of category nesting,Admin Backend,P0,,,
Categories,Structure,POI Type Filtering,applicable_types array per category,Admin Backend,P0,,,
Categories,Structure,Slug Generation,Auto-generate category slugs,Admin Backend,P0,,,
Categories,API,Get Category Tree,GET /api/categories/tree endpoint,Admin Backend,P0,,,
Categories,API,Get by POI Type,GET /api/categories/by-poi-type/{type},Admin Backend,P0,,,
Categories,API,Create Category,POST /api/categories/ endpoint,Admin Backend,P0,,,
Categories,API,Update Category,PUT /api/categories/{id} endpoint,Admin Backend,P0,,,
Categories,API,Delete Category,DELETE /api/categories/{id} endpoint,Admin Backend,P0,,,
Categories,API,Circular Reference Prevention,Prevent category from being its own parent,Admin Backend,P0,,,
Categories,Frontend,Category List Page,Admin page showing all categories,Admin Frontend,P0,,,
Categories,Frontend,Category Selector,Hierarchical picker in POI form,Admin Frontend,P0,,,
Categories,Frontend,Main Category Badge,Indicate main vs secondary,Admin Frontend,P0,,,
Images,Storage,S3 Storage,Store images in AWS S3,Admin Backend,P0,,,
Images,Storage,MinIO (Dev),S3-compatible local storage,Infrastructure,P0,,,
Images,Storage,Database Storage Deprecated,No longer store binary in DB,Admin Backend,P0,,,
Images,Types,Main Image,Primary featured image,Admin Backend,P0,,,
Images,Types,Gallery Images,Additional photo gallery,Admin Backend,P0,,,
Images,Types,Entry Photos,Entrance/storefront photos,Admin Backend,P0,,,
Images,Types,Parking Photos,Parking area photos,Admin Backend,P0,,,
Images,Types,Restroom Photos,Restroom photos,Admin Backend,P0,,,
Images,Types,Rental Photos,Rental equipment photos,Admin Backend,P1,,,
Images,Types,Playground Photos,Playground photos,Admin Backend,P1,,,
Images,Types,Menu Photos,Menu images,Admin Backend,P0,,,
Images,Types,Trail Head Photos,Trailhead location photos,Admin Backend,P0,,,
Images,Types,Trail Exit Photos,Trail exit location photos,Admin Backend,P0,,,
Images,Types,Map Images,Map graphics,Admin Backend,P1,,,
Images,Types,Downloadable Maps,PDF maps (20MB max),Admin Backend,P1,,,
Images,Variants,Original Size,Full resolution upload,Admin Backend,P0,,,
Images,Variants,XLarge (1920x1080),Hero image size,Admin Backend,P0,,,
Images,Variants,Large (1200x800),Detail page size,Admin Backend,P0,,,
Images,Variants,Medium (600x400),Card/list size,Admin Backend,P0,,,
Images,Variants,Thumbnail (200x200),Grid preview size,Admin Backend,P0,,,
Images,Variants,Auto-generation,Create variants on upload,Admin Backend,P0,,,
Images,Upload,Single Upload,POST /api/images/upload/{poi_id},Admin Backend,P0,,,
Images,Upload,Bulk Upload,POST /api/images/bulk-upload/{poi_id},Admin Backend,P0,,,
Images,Upload,Drag-and-Drop,Drag files to upload,Admin Frontend,P0,,,
Images,Upload,File Size Limit,10MB max (20MB for PDFs),Admin Backend,P0,,,
Images,Upload,Format Validation,"JPEG, PNG, WebP, PDF only",Admin Backend,P0,,,
Images,Management,Reorder Images,Drag to reorder gallery,Admin Frontend,P0,,,
Images,Management,Alt Text,Add alt text for accessibility,Admin Frontend,P0,,,
Images,Management,Captions,Add captions to images,Admin Frontend,P1,,,
Images,Management,Delete Image,Remove image from POI,Admin Frontend,P0,,,
Attributes,Types,Text Attribute,Single line text input,Admin Backend,P0,,,
Attributes,Types,Textarea Attribute,Multi-line text input,Admin Backend,P0,,,
Attributes,Types,Number Attribute,Numeric input with min/max,Admin Backend,P0,,,
Attributes,Types,Select Attribute,Single choice dropdown,Admin Backend,P0,,,
Attributes,Types,Multi-select Attribute,Multiple choice checkboxes,Admin Backend,P0,,,
Attributes,Types,Checkbox Attribute,Boolean toggle,Admin Backend,P0,,,
Attributes,Types,Date Attribute,Date picker input,Admin Backend,P0,,,
Attributes,Types,Time Attribute,Time picker input,Admin Backend,P0,,,
Attributes,Types,URL Attribute,URL input with validation,Admin Backend,P0,,,
Attributes,Types,Email Attribute,Email input with validation,Admin Backend,P0,,,
Attributes,Config,POI Type Filtering,Limit attributes to POI types,Admin Backend,P0,,,
Attributes,Config,Required Flag,Mark attribute as required,Admin Backend,P0,,,
Attributes,Config,Default Value,Set default value,Admin Backend,P1,,,
Attributes,Config,Help Text,Display help text to users,Admin Backend,P1,,,
Attributes,Config,Display Order,Control attribute order,Admin Backend,P1,,,
Attributes,Frontend,Dynamic Form Rendering,Render attributes based on config,Admin Frontend,P0,,,
Attributes,Frontend,Validation,Client-side validation per type,Admin Frontend,P0,,,
Relationships,Types,Event-Venue,Link event to venue location,Admin Backend,P0,,,
Relationships,Types,Event-Vendor,Link event to vendor businesses,Admin Backend,P1,,,
Relationships,Types,Event-Sponsor,Link event to sponsors,Admin Backend,P2,,,
Relationships,Types,Trail-in-Park,Link trail to containing park,Admin Backend,P0,,,
Relationships,Types,Service Provider,Link service to POI,Admin Backend,P2,,,
Relationships,Types,Related POIs,Generic relation between POIs,Admin Backend,P1,,,
Relationships,API,Create Relationship,POST /api/relationships/,Admin Backend,P0,,,
Relationships,API,Get POI Relationships,GET /api/relationships/{poi_id},Admin Backend,P0,,,
Relationships,API,Delete Relationship,DELETE /api/relationships/...,Admin Backend,P0,,,
Relationships,Frontend,Relationship Manager,UI to add/remove relationships,Admin Frontend,P0,,,
Relationships,Frontend,POI Search for Linking,Search POIs to create link,Admin Frontend,P0,,,
Relationships,Frontend,Display Relationships,Show linked POIs on detail page,App Frontend,P1,NN-40: Not implemented,,
Search,Keyword,pg_trgm Fuzzy Search,Trigram-based fuzzy matching,App Backend,P0,,,
Search,Keyword,Search Endpoint,GET /api/pois/search?q=...,App Backend,P0,,,
Search,Keyword,Similarity Threshold,0.3 minimum similarity,App Backend,P0,,,
Search,Keyword,Name Weighting,Name matches weighted 2x,App Backend,P0,,,
Search,Semantic,Embedding Model,michaelfeil/embeddinggemma-300m (~1GB),App Backend,P0,,,
Search,Semantic,Vector Storage,pgvector extension for embeddings,Database,P0,,,
Search,Semantic,Semantic Endpoint,GET /api/pois/semantic-search?q=...,App Backend,P0,,,
Search,Semantic,Natural Language,Understand queries like 'dog friendly cafe',App Backend,P0,,,
Search,Semantic,Fallback to Keyword,Use keyword if embeddings unavailable,App Backend,P0,,,
Search,Hybrid,Combined Search,30% keyword + 70% semantic,App Backend,P0,,,
Search,Hybrid,Configurable Weights,Adjust keyword/semantic balance,App Backend,P1,,,
Search,Hybrid,Hybrid Endpoint,GET /api/pois/hybrid-search?q=...,App Backend,P0,,,
Search,Frontend,Search Bar Component,SearchBar.jsx with input,App Frontend,P0,,,
Search,Frontend,Debounced Input,300ms delay before API call,App Frontend,P0,,,
Search,Frontend,Search Dropdown,Results list with keyboard nav,App Frontend,P0,,,
Search,Frontend,Keyboard Navigation,"Arrow keys, Enter, Escape",App Frontend,P0,,,
Search,Frontend,Result Highlighting,Highlight selected result,App Frontend,P0,,,
Nearby,Core,Nearby API Endpoint,GET /api/pois/{poi_id}/nearby,App Backend,P0,,,
Nearby,Core,Distance Calculation,PostGIS ST_DWithin/ST_Distance,App Backend,P0,,,
Nearby,Core,Miles to Meters,Convert miles to meters for PostGIS,App Backend,P0,,,
Nearby,Core,Sort by Distance,Return nearest first,App Backend,P0,,,
Nearby,Filters,Radius Dropdown,"1, 3, 5, 10, 15 miles",App Frontend,P0,,,
Nearby,Filters,Type Filter Pills,"All, Businesses, Events, Parks, Trails",App Frontend,P0,,,
Nearby,Filters,Youth Events Filter,Filter for youth activities,App Frontend,P1,,,
Nearby,Filters,Date Presets,"Today, Tomorrow, This Weekend",App Frontend,P0,,,
Nearby,Filters,Custom Date Picker,Select specific date,App Frontend,P0,,,
Nearby,Filters,Search Within Nearby,Hybrid search filtered to nearby,App Frontend,P0,,,
Nearby,Filters,Clear Filters Button,Reset all filters,App Frontend,P0,,,
Nearby,Map,Leaflet Map,Map showing nearby POIs,App Frontend,P0,,,
Nearby,Map,Carto Voyager Tiles,"Warm, MapQuest-like colors",App Frontend,P0,NN-50: Accessibility concerns,,
Nearby,Map,Numbered Markers,Purple circles with numbers,App Frontend,P0,,,
Nearby,Map,Current POI Marker,Gold/yellow circle for current,App Frontend,P0,,,
Nearby,Map,Auto-fit Bounds,Zoom to show all markers,App Frontend,P0,,,
Nearby,Map,Marker Click Highlight,Click marker to highlight card,App Frontend,P0,,,
Nearby,Map,Card Click Pan,Click card to highlight marker,App Frontend,P0,,,
Nearby,Cards,NearbyCard Component,Individual POI card in list,App Frontend,P0,NN-33: Design update needed,,
Nearby,Cards,Distance Display,Show miles from current POI,App Frontend,P0,,,
Nearby,Cards,Hours Display,Show hours for selected date,App Frontend,P0,,,
Nearby,Cards,Category Display,Show primary category,App Frontend,P0,,,
Nearby,Cards,Amenity Icons,"Restrooms, wheelchair, WiFi, pets",App Frontend,P0,,,
Nearby,Cards,Trail Info,Length and difficulty for trails,App Frontend,P0,,,
Nearby,Cards,Event Info,Date for events,App Frontend,P0,,,
Nearby,Cards,Park Info,Park type for parks,App Frontend,P0,,,
Nearby,Actions,Directions Modal,Choose navigation app,App Frontend,P0,NN-31: Styling updates,,
Nearby,Actions,Google Maps Link,Open in Google Maps,App Frontend,P0,,,
Nearby,Actions,Apple Maps Link,Open in Apple Maps,App Frontend,P0,,,
Nearby,Actions,Waze Link,Open in Waze,App Frontend,P0,,,
Nearby,Actions,Copy Address,Copy address to clipboard,App Frontend,P0,NN-31: Only copying city,,
Nearby,Actions,Copy Lat/Long,Copy coordinates to clipboard,App Frontend,P0,,,
Nearby,Pagination,Page Navigation,Next/previous page buttons,App Frontend,P0,,,
Nearby,Pagination,Items Per Page,6 items per page default,App Frontend,P0,,,
Nearby,Mobile,Touch Targets,44px+ for accessibility,App Frontend,P0,,,
Nearby,Mobile,Horizontal Scroll Pills,Swipe filter buttons,App Frontend,P0,,,
Nearby,Mobile,Icon-only Mode,Icons without text on small screens,App Frontend,P0,,,
Nearby,Mobile,Responsive Breakpoints,"768px, 480px, 360px",App Frontend,P0,,,
Detail Pages,Routing,Smart Router,POIDetail.jsx dispatches to type-specific,App Frontend,P0,,,
Detail Pages,Routing,Slug-based URLs,"/places/, /parks/, /trails/, /events/",App Frontend,P0,,,
Detail Pages,Routing,UUID Fallback,/poi/{uuid} redirects to slug URL,App Frontend,P0,,,
Detail Pages,Business,BusinessDetail Page,Full business detail view,App Frontend,P0,NN-39: Design implementation,,
Detail Pages,Business,Price Range Display,"$, $$, $$$ indicator",App Frontend,P0,,,
Detail Pages,Business,Business Hours,Show weekly hours with toggle,App Frontend,P0,NN-36: Toggle not working,,
Detail Pages,Business,Contact Info,"Phone, email, website",App Frontend,P0,,,
Detail Pages,Business,Social Links,"Instagram, Facebook, X, etc.",App Frontend,P0,,,
Detail Pages,Park,ParkDetail Page,Full park detail view,App Frontend,P0,NN-41: Design implementation,,
Detail Pages,Park,Park Type Display,"State park, local park, etc.",App Frontend,P0,,,
Detail Pages,Park,Facilities List,"Playgrounds, pavilions, etc.",App Frontend,P0,,,
Detail Pages,Trail,TrailDetail Page,Full trail detail view,App Frontend,P0,NN-42: Design implementation,,
Detail Pages,Trail,Length Display,Miles with icon,App Frontend,P0,,,
Detail Pages,Trail,Difficulty Badge,Easy/Moderate/Hard,App Frontend,P0,,,
Detail Pages,Trail,Surface Types,"Dirt, gravel, paved, etc.",App Frontend,P0,,,
Detail Pages,Event,EventDetail Page,Full event detail view,App Frontend,P0,NN-44: Design implementation,,
Detail Pages,Event,Date/Time Display,Event date and time,App Frontend,P0,,,
Detail Pages,Event,Status Indicator,"Upcoming, happening now, past",App Frontend,P0,,,
Detail Pages,Event,Organizer Info,Event organizer details,App Frontend,P0,,,
Detail Pages,Event,Ticket Link,Button to buy tickets,App Frontend,P0,,,
Detail Pages,Common,Photo Gallery,Display all POI images,App Frontend,P0,,,
Detail Pages,Common,Photo Lightbox,Full-screen image viewer,App Frontend,P0,,,
Detail Pages,Common,Directions Button,Open in maps app,App Frontend,P0,,,
Detail Pages,Common,Share Button,Share via social/email,App Frontend,P0,NN-38: Only showing copy link,,
Detail Pages,Common,Copy Lat/Long,Copy coordinates,App Frontend,P0,NN-35: Was showing null,,
Detail Pages,Common,Verified Badge,Show verified status,App Frontend,P0,NN-48: Popup not showing,,
Detail Pages,Common,Nearby Section,Embedded nearby feature,App Frontend,P0,,,
Detail Pages,Common,Amenity Display,Icons for facilities,App Frontend,P0,,,
Maps,Library,React-Leaflet,Leaflet wrapper for React,App Frontend,P0,,,
Maps,Tiles,Carto Voyager,"Warm, colorful map tiles",App Frontend,P0,NN-50: Accessibility review,,
Maps,Tiles,Parks Green,Parks shown in green,App Frontend,P1,NN-50: Not implemented,,
Maps,Tiles,Water Blue,Water shown in blue,App Frontend,P1,NN-50: Not implemented,,
Maps,Tiles,County Borders,Show Chatham County border,App Frontend,P2,NN-50: Not implemented,,
Maps,Markers,Numbered Markers,Purple circles with numbers,App Frontend,P0,,,
Maps,Markers,Current Location,Gold marker for current POI,App Frontend,P0,,,
Maps,Markers,Marker Popups,Info popup on click,App Frontend,P0,NN-28: Connect to card list,,
Maps,Interaction,Click to Set Location,Admin map for coordinates,Admin Frontend,P0,,,
Maps,Interaction,Auto-fit Bounds,Zoom to show all markers,App Frontend,P0,,,
Maps,Interaction,Zoom Controls,Plus/minus buttons,App Frontend,P0,,,
SEO,Meta Tags,Dynamic Title,Page title from POI name,App Frontend,P0,,,
SEO,Meta Tags,Description,Meta description from teaser,App Frontend,P0,,,
SEO,Meta Tags,Canonical URL,Canonical link tag,App Frontend,P0,,,
SEO,Open Graph,og:title,Title for social shares,App Frontend,P0,,,
SEO,Open Graph,og:description,Description for social,App Frontend,P0,,,
SEO,Open Graph,og:image,Image for social preview,App Frontend,P0,,,
SEO,Open Graph,og:type,place/event type,App Frontend,P0,,,
SEO,Twitter,twitter:card,summary_large_image,App Frontend,P0,,,
SEO,Twitter,twitter:title,Title for Twitter,App Frontend,P0,,,
SEO,Twitter,twitter:description,Description for Twitter,App Frontend,P0,,,
SEO,Structured Data,LocalBusiness JSON-LD,Schema.org LocalBusiness,App Frontend,P0,,,
SEO,Structured Data,Event JSON-LD,Schema.org Event,App Frontend,P0,NN-51: Implement,,
SEO,Structured Data,GeoCoordinates,Lat/long in structured data,App Frontend,P0,,,
